built_year;floor_count_max;area_common_property;area_land;;district
1962;9;400.1;2898;;Академический 
1963;11;250.9;2430;;Академический 
1963;11;150.9;3208;;Академический 
1964;13;81.3;4602;;Академический 
1964;13;23.8;4690;;Академический 
1965;13;0.2;5685;;Академический 
1967;13;168.9;6700;;Академический 
1967;13;13.9;5210;;Академический 
2003;25; ; ;;Академический 
1964;9;771.1;0;;Академический 
1963;9;868.7;0;;Академический 
1959;5;1267.2;0;;Академический 
1958;5;1298.1;0;;Академический 
1959;5;911.2;0;;Академический 
1959;5;946;0;;Академический 
1959;5;996;0;;Академический 
1958;5;1249.3;0;;Академический 
1959;5;950.1;0;;Академический 
1959;5;622.5;0;;Академический 
2000;18;6110.4;0;;Академический 
1957;4;1117;0;;Академический 
1957;4;890.4;0;;Академический 
1957;4;1043.4;0;;Академический 
1957;4;1032.2;0;;Академический 
1957;4;1062.8;0;;Академический 
1957;4;1164.1;0;;Академический 
1957;4;1085.5;0;;Академический 
1957;4;1083.8;0;;Академический 
1957;4;1040.5;0;;Академический 
1958;8;929;0;;Академический 
1958;8;750;0;;Академический 
1958;8;738;0;;Академический 
1958;8;2715.3;0;;академический 
1958;8;3965.5;0;;академический 
1953;5;986.1;0;;академический 
1969;14;1515.3;0;;академический 
;; ; ;;академический 
1949;4;919;0;;академический 
1960;5;1298.2;0;;академический 
1958;6;1127.2;0;;академический 
1950;5;1122.4;0;;академический 
1950;5;701.1;0;;академический 
1951;5;753.5;0;;академический 
1950;5;720.2;0;;академический 
1950;5;1079.88;0;;академический 
1951;5;704.8;0;;академический 
1952;5;1261.5;0;;академический 
2005;12;11646.6;0;;Академический 
1957;5;1667.2;0;;Академический 
1957;5;1679.2;0;;Академический 
1957;5;1652.6;0;;Академический 
2007;12;7289.5;0;;Академический 
1960;5;1268.2;0;;Академический 
1960;5;1267.5;0;;Академический 
1960;5;1322.2;0;;Академический 
1971;14;1090.8;0;;Академический 
1959;5;1552.7;0;;Академический 
1959;5;800;0;;Академический 
1960;5;1286;0;;Академический 
1961;5;1322.9;0;;Академический 
1960;5;1287.2;0;;Академический 
1961;5;1238;0;;Академический 
1963;5;1271;0;;Академический 
1961;4;497.9;0;;Академический 
1974;12;3854.2;0;;Академический 
2005;22;739.8;0;;Академический 
1972;14;1003.2;0;;Академический 
1960;5;1322.9;0;;Академический 
1960;5;1274.5;0;;Академический 
1957;5;1662.6;0;;Академический 
1957;5;1662.6;0;;Академический 
1957;5;1667.5;0;;Академический 
1957;5;1770.7;0;;Академический 
1957;5;1721.7;0;;Академический 
2012;12;4414.4;0;;Академический 
2012;18;3171.4;0;;Академический 
1958;5;3538;0;;Академический 
2013;18;2600.5;0;;Академический 
;5; ;0;;Академический 
;5; ;0;;Академический 
;5; ;0;;Академический 
;5; ;0;;Академический 
1958;4;831.1;0;;Академический 
1957;4;1096.7;0;;Академический 
1959;5;940.7;0;;Академический 
1959;5;940.7;0;;Академический 
1952;4;613.6;0;;Академический 
1952;4;1610.5;0;;Академический 
1975;16;7624;14431;;Академический 
1960;5;911;0;;Академический 
1959;5;915;0;;Академический 
1951;3;875.8;0;;Академический 
2015;19;7588.9;0;;Академический 
1957;8;12209.9;0;;Академический 
1958;5;1560.3;0;;Академический 
1958;5;4273;0;;Академический 
1958;5;3528;0;;Академический 
1958;5;3560;0;;Академический 
1961;5;6822;0;;Академический 
1957;5;789.3;0;;Академический 
1998;17;2640;0;;Академический 
1997;17;2639.8;0;;Академический 
1957;5;1360.4;0;;Академический 
1997;14;3402.7;0;;Академический 
1997;14;2272;0;;Академический 
1957;5;1612.8;0;;Академический 
1958;5;1617.1;0;;Академический 
2001;14;5807.9;0;;Академический 
1970;14;944.1;0;;Академический 
1957;5;1626;0;;Академический 
1957;5;1587;0;;Академический 
1957;5;1592;0;;Академический 
1977;16;6737.4;0;;Академический 
1976;12;934.8;0;;Академический 
;16; ;5386;;Академический 
;31; ;0;;Академический 
1955;5;1778.5;0;;Академический 
1964;9;810.2;0;;Академический 
1964;9;809.1;0;;Академический 
1958;5;1678.8;0;;Академический 
1955;5;1880.6;0;;Академический 
1955;5;1051.2;0;;Академический 
1956;5;1887.1;0;;Академический 
1956;5;1648.4;0;;Академический 
1956;5;1624.4;0;;Академический 
1958;5;1707.8;0;;Академический 
1957;5;1577.7;0;;Академический 
1958;5;967;0;;Академический 
1958;8;777.7;0;;Академический 
1958;8;753.5;0;;Академический 
1958;5;1729.8;0;;Академический 
1958;5;1704.1;0;;Академический 
1958;5;1622.7;0;;Академический 
1958;5;1295.4;0;;Академический 
1958;5;941.4;0;;Академический 
1959;5;1371.3;0;;Академический 
1958;5;1701.4;0;;Академический 
;16; ; ;;Академический 
;16; ;561;;Академический 
1954;5;1038.8;0;;Академический 
1959;5;1055.3;0;;Академический 
1954;5;1076.7;0;;Академический 
;16; ; ;;Академический 
2001;16;19706;0;;Академический 
1954;5;1749;0;;Академический 
1954;5;1752.4;0;;Академический 
1953;5;1848.8;0;;Академический 
1958;5;1344.6;0;;Академический 
1957;5;1984.7;0;;Академический 
1958;5;1824.9;0;;Академический 
1958;5;1348.4;0;;Академический 
1962;5;1247.7;0;;Академический 
1963;5;1288;0;;Академический 
1962;5;1248;0;;Академический 
1959;5;1166.5;0;;Академический 
1997;17;1650.8;0;;Академический 
1997;17;1928.8;0;;Академический 
1959;5;1036.2;0;;Академический 
1997;14;3440.6;0;;Академический 
1997;14;1162.7;0;;Академический 
1998;10;3547.4;0;;Академический 
1998;10;2084.2;0;;Академический 
1956;5;1434.3;0;;Академический 
1957;5;1880;0;;Академический 
1957;5;2939.5;0;;Академический 
1956;5;1802.8;0;;Академический 
1956;5;1888.1;0;;Академический 
1956;5;1510;0;;Академический 
1956;5;1558.6;0;;Академический 
1957;5;1526.9;0;;Академический 
1952;5;1301.3;0;;Академический 
1956;5;1773.9;0;;Академический 
1957;5;1923.03;0;;Академический 
1955;5;1313.5;0;;Академический 
1955;6;1785;0;;Академический 
1955;5;1168.4;0;;Академический 
1955;5;1265.2;0;;Академический 
1955;5;831;938.5;;Академический 
1954;5;1070.7;0;;Академический 
1958;5;1035.5;0;;Академический 
1954;6;1465.6;0;;Академический 
1954;6;1432.7;0;;Академический 
1954;6;900;0;;Академический 
1957;5;985.8;0;;Академический 
1955;5;1140.4;0;;Академический 
1955;5;1351.3;0;;Академический 
1955;5;1240.3;0;;Академический 
1965;9;980.5;0;;Академический 
1970;15;0;1424;;Академический 
1965;9;953.9;0;;Академический 
1965;5;1603;0;;Академический 
1964;5;1578.2;0;;Академический 
1964;5;2819;0;;Академический 
1967;9;2092;0;;Академический 
1965;5;3823;0;;Академический 
1961;8;1656.7;0;;Академический 
1961;8;1661.8;0;;Академический 
1959;8;2924.7;0;;Академический 
1960;8;1813.5;0;;Академический 
1960;8;3101.5;0;;Академический 
1960;8;3376.1;0;;Академический 
1958;5;1705.4;0;;Академический 
2006;27;17087;9500;;Академический 
1961;5;1278.4;0;;Академический 
1959;5;1298.1;0;;Академический 
1961;5;1285;0;;Академический 
1957;5;1679;0;;Академический 
1957;5;1715.6;0;;Академический 
1958;5;1898;0;;Академический 
2008;14;5235.1;0;;Академический 
1957;5;1095;0;;Академический 
1958;5;1083.5;0;;Академический 
1957;5;1153.6;0;;Академический 
1957;5;1317.1;0;;Академический 
1957;5;1149.2;0;;Академический 
1957;5;1273;0;;Академический 
1958;5;2204.7;0;;Академический 
1997;17;5932.5;0;;Академический 
